timp,eroare
194.975046473,0.0020393252372741255
195.116763126,-0.005162346363067671
195.278524165,-0.0110947966575623
195.398113456,-0.0012396454811096635
195.535899467,0.07680077552795406
195.681728973,0.18892360925674434
195.807270177,1.2691893100738525
195.966505599,1.256037187576294
196.435318481,1.2348625183105468
196.621099278,1.214155626296997
196.801308648,1.193031620979309
197.032379554,1.1798004627227783
197.23641931,1.161931824684143
197.400310617,1.140270185470581
197.579370086,1.1194505214691162
197.778234429,1.0982110023498535
198.022777617,1.0771824836730957
198.201050804,1.0671848773956298
198.355388576,1.0460311889648437
198.506284289,1.0242435455322265
198.686331415,1.003091049194336
198.82002157,0.9819392681121826
198.936166456,0.9707777023315429
199.06593675,0.949365210533142
199.385587748,0.9997556924819946
199.61687869,0.9979916334152221
199.879549646,0.9962039709091186
200.083461653,0.994411301612854
200.236956504,0.9926051616668701
200.381553563,0.9908179759979248
200.589166207,0.9891864776611328
200.749869556,0.9850428819656372
200.936891311,0.9627040147781372
201.153566119,0.9412271499633789
201.310364936,0.9312309741973877
201.43084572,0.9295080423355102
201.552486294,0.9277137041091919
201.680503954,0.9259383201599121
201.796406349,0.9244738340377807
201.956699789,0.9227190732955932
202.091091773,0.9209599018096923
202.240068332,0.9191827297210693
202.369920555,0.9174224853515625
202.478975295,0.9156273126602172
202.622484319,0.9138148546218872
202.960371817,0.9121422290802002
203.321522192,0.9106513977050781
203.689052688,0.9089091539382934
203.917332496,0.907148790359497
204.173441842,0.9052825689315795
204.390557799,0.9035914659500122
204.636607057,0.9018482685089111
204.925423063,0.9001057863235473
205.132533779,0.8986627578735351
205.336551653,0.8969450712203979
205.560269435,0.8952009201049804
205.704259361,0.8934735774993896
205.853873771,0.8916947364807128
205.986815624,0.8899845600128173
206.123605422,0.8882413625717163
206.259317242,0.8864805221557617
206.425300056,0.8851018667221069
206.593675641,0.8833921670913696
206.777723752,0.8816983222961425
206.936455031,0.8799530982971191
207.058709194,0.8782255172729492
207.18983963,0.8765319108963012
207.336775125,0.874822449684143
207.505485095,0.8731593608856201
207.659725797,0.8713814735412597
207.810674017,0.8696875095367431
207.975602216,0.8679929494857788
208.129982238,0.8663156747817993
208.315190038,0.8646215915679931
208.458692117,0.8629283428192138
208.587620131,0.8612188816070556
208.697436896,0.8598329544067382
208.836393129,0.8581557989120483
208.943862258,0.8564778089523315
209.085833478,0.8547324657440185
209.246644731,0.8530717611312866
209.356911805,0.8513944864273071
209.526152414,0.8361567974090576
209.829926276,0.8162384748458862
210.084149516,0.7955932140350341
210.221983179,0.775749397277832
210.389921404,0.7555043220520019
210.531148119,0.7356607437133789
210.758385884,0.7156183242797851
210.963312365,0.6955744743347168
211.125842583,0.6755306243896484
211.291838259,0.6552104473114013
211.457326779,0.6351669549942016
211.651576789,0.6153259992599487
211.779086085,0.5952827453613281
211.917585568,0.5750373125076294
212.041085236,0.5549942970275878
212.165052148,0.5349514007568359
212.305598865,0.5148496150970459
212.446310643,0.49479324817657466
212.549788984,0.4747508287429809
212.801926725,0.45686383247375484
212.922845289,0.4370085716247558
213.317572083,0.41692597866058345
213.553591327,0.3962448358535766
213.837238887,0.37616438865661617
214.086731013,0.356010627746582
214.252154535,0.33593041896820064
214.405474895,0.3154488325119018
214.552859166,0.29536910057067867
214.749201955,0.2754882097244262
214.954852158,0.2554087162017822
215.224770791,0.2353293418884277
215.468452906,0.21503384113311763
215.633545749,0.19509894847869869
215.848210313,0.17716194391250606
216.037217831,0.15703858137130733
216.238238093,0.13691533803939815
216.4324329,0.11638988256454463
216.730297881,0.09647024869918819
216.935256416,0.07634760141372676
217.166259704,0.05615181922912593
217.348219207,0.036030721664428667
217.494958915,0.015705537796020463
217.650502677,-0.0022222876548767534
217.832326762,-0.019844222068786666
217.997410349,-0.028621900081634566
218.118803233,-0.030353415012359664
218.259723322,-0.027363288402557417
218.404415571,-0.026019799709320113
